"","lead","follower","X.x","lag","pvalue.x","X.y","TE","pvalue.y","adjcos"
"1","Vehicle1002","Vehicle1004",1992,-2,0.000868785546873321,16810,0.122328094551463,0,-0.995926443746693
"2","Vehicle1005","Vehicle1020",1998,-3,8.78274933127285e-05,16858,0.156961772829748,0,-0.846184560524934
"3","Vehicle1012","Vehicle1014",2008,-3,0.000438150561884865,16934,0.154641250584756,0,0.530224366811726
"4","Vehicle1019","Vehicle1030",2019,-3,0.000142119270964746,17015,0.136912091299505,0,-0.299630086719367
"5","Vehicle1019","Vehicle1030",2020,-4,0.000338342913390257,17015,0.136912091299505,0,-0.299630086719367
"6","Vehicle1019","Vehicle1030",2018,-2,1.79901204970984e-07,17015,0.136912091299505,0,-0.299630086719367
"7","Vehicle102","Vehicle113",161,-2,0.000282795176536315,1381,0.114487331764845,0,0.657091178519476
"8","Vehicle1020","Vehicle1030",2022,-2,4.90588388722568e-05,17034,0.104762643642355,0,-0.557259377102596
"9","Vehicle1036","Vehicle1038",2049,-2,3.13870796811844e-05,17280,0.126147140524613,0,-0.957498113895293
"10","Vehicle1036","Vehicle1038",2050,-3,0.000211646796028255,17280,0.126147140524613,0,-0.957498113895293
"11","Vehicle1046","Vehicle1048",2070,-2,0.000153792624949588,17404,0.115748741013183,0,-0.988445853698119
"12","Vehicle1048","Vehicle1054",2074,-3,7.55219117666037e-05,17430,0.131114009476286,0,-0.968945968369353
"13","Vehicle1050","Vehicle1056",2077,-2,0.000541517777158812,17455,0.217903456787868,0,-0.991786054993959
"14","Vehicle1052","Vehicle1053",2080,-3,2.42017384318506e-05,17466,0.110218346180177,0,-0.847223992099683
"15","Vehicle1053","Vehicle1057",2084,-3,0.000111070013735681,17473,0.172876496645926,0,-0.951380631542666
"16","Vehicle1065","Vehicle1068",2103,-4,0.000905896057261459,17535,0.187778187440755,0,-0.806682089488646
"17","Vehicle1072","Vehicle1080",2112,-3,5.82984402998119e-05,17595,0.101881128271898,0,-0.434302877389623
"18","Vehicle1075","Vehicle1079",2116,-2,7.62494183855578e-05,17606,0.150885288222709,0,-0.525473910517995
"19","Vehicle1086","Vehicle1090",2140,-2,0.000490054484993567,17739,0.15821871504475,0,-0.569466367872462
"20","Vehicle1089","Vehicle1097",2148,-4,0.000181700399127483,17770,0.105725669076939,0,-0.712219388019762
"21","Vehicle1090","Vehicle1096",2151,-4,0.000593705004155958,17791,0.147376753927538,0,-0.803210931959186
"22","Vehicle1093","Vehicle1101",2158,-3,5.75606504095372e-07,17843,0.150097685366545,0,-0.958519798343058
"23","Vehicle1093","Vehicle1101",2157,-2,3.80363756648375e-05,17843,0.150097685366545,0,-0.958519798343058
"24","Vehicle1093","Vehicle1101",2159,-4,8.88075325954906e-05,17843,0.150097685366545,0,-0.958519798343058
"25","Vehicle1113","Vehicle1133",2192,-3,0.000979399716809114,18224,0.10869337258743,0,-0.985538927336187
"26","Vehicle1113","Vehicle1133",2193,-4,0.000242105302798375,18224,0.10869337258743,0,-0.985538927336187
"27","Vehicle1126","Vehicle1140",2215,-2,0.000291312508567527,18466,0.143500695040587,0,-0.995546026772096
"28","Vehicle1129","Vehicle1133",2220,-3,0.000976428282225228,18529,0.101755497741424,0,0.397075476340739
"29","Vehicle1129","Vehicle1133",2221,-4,1.02210206741189e-05,18529,0.101755497741424,0,0.397075476340739
"30","Vehicle1129","Vehicle1133",2219,-2,6.59204896805203e-06,18529,0.101755497741424,0,0.397075476340739
"31","Vehicle1136","Vehicle1140",2244,-3,0.000499437747430456,18666,0.15821871504475,0,-0.967326226043939
"32","Vehicle1136","Vehicle1140",2243,-2,0.000390550832660224,18666,0.15821871504475,0,-0.967326226043939
"33","Vehicle1161","Vehicle1167",2287,-2,0.000864028984441027,19040,0.130730886389214,0,-0.975078576098875
"34","Vehicle1178","Vehicle1190",2317,-4,0.000364918708043744,19233,0.119963013091865,0,-0.752623628359958
"35","Vehicle1187","Vehicle1190",2329,-2,0.000205418079040216,19333,0.101999022160741,0,-0.633179136955674
"36","Vehicle1192","Vehicle1200",2336,-2,0.000303629802730452,19395,0.157151639256523,0,-0.981466606923229
