"","X","lead","follower","X.x","leaddata","followdata","lag","pvalue","X.y","TE","adjcos"
"1",1,"Vehicle1039","Vehicle1045",1450,27,29,-2,0.000758522,3563,0.19346843554502,-0.985580437749086
"2",2,"Vehicle107","Vehicle113",139,28,30,-2,0.000155498,291,0.190431220708655,-0.901473225971916
"3",3,"Vehicle107","Vehicle113",140,25,28,-3,0.000279776,291,0.190431220708655,-0.901473225971916
"4",4,"Vehicle1114","Vehicle1121",1539,27,29,-2,0.00010497,3736,0.378772312129877,-0.918711560349546
"5",5,"Vehicle1142","Vehicle1147",1580,30,33,-3,0.000594095,3829,0.123750482814879,-0.852709814510918
"6",6,"Vehicle1191","Vehicle1198",1647,20,23,-3,8.23e-05,3955,0.214767347827075,-0.918453339117346
"7",7,"Vehicle1191","Vehicle1198",1646,23,25,-2,2.34e-05,3955,0.214767347827075,-0.918453339117346
"8",8,"Vehicle1193","Vehicle1200",1650,29,31,-2,0.000872176,3959,0.184990328688408,-0.983324668789932
"9",9,"Vehicle121","Vehicle140",162,32,35,-3,0.00017839,335,0.101584616608597,-0.331341637514063
"10",10,"Vehicle1226","Vehicle1251",1690,38,40,-2,0.000136029,4050,0.107873574087882,-0.97712621341668
"11",11,"Vehicle1266","Vehicle1284",1742,27,29,-2,0.000418697,4170,0.134250004966587,-0.632804836183355
"12",12,"Vehicle1284","Vehicle1285",1766,27,29,-2,0.000787765,4203,0.190167001245051,-0.998563136760661
"13",13,"Vehicle1296","Vehicle1318",1785,36,38,-2,0.000275199,4246,0.114171780839296,-0.365038251178601
"14",14,"Vehicle1304","Vehicle1320",1801,27,29,-2,0.000801354,4294,0.134611562825017,-0.772712732636568
"15",15,"Vehicle1313","Vehicle1315",1820,30,33,-3,0.000975752,4361,0.123750482814879,-0.726914646101674
"16",16,"Vehicle1314","Vehicle1332",1824,31,33,-2,0.00081519,4369,0.129537052158805,-0.958742249447365
"17",17,"Vehicle1359","Vehicle1404",1891,27,29,-2,0.000864059,4590,0.134611562825017,-0.916065699694575
"18",18,"Vehicle1361","Vehicle1367",1894,26,29,-3,0.000218992,4599,0.12784747154555,-0.986441810679238
"19",19,"Vehicle1367","Vehicle1370",1906,35,38,-3,5.74e-06,4615,0.201306242525651,-0.0213102180885287
"20",20,"Vehicle1367","Vehicle1370",1905,38,40,-2,7.41e-06,4615,0.201306242525651,-0.0213102180885287
"21",21,"Vehicle1367","Vehicle1370",1907,32,36,-4,0.000252022,4615,0.201306242525651,-0.0213102180885287
"22",22,"Vehicle139","Vehicle141",183,25,28,-3,0.000195768,387,0.133179614016126,0.747015072202065
"23",23,"Vehicle1393","Vehicle1410",1939,22,26,-4,0.000850024,4693,0.190431220708655,-0.742838483162796
"24",24,"Vehicle1404","Vehicle1409",1952,21,25,-4,0.000902809,4729,0.131180497380021,-0.908392327017424
"25",25,"Vehicle1453","Vehicle1463",2006,34,36,-2,0.000217892,4831,0.102091594879171,-0.175767287789687
"26",26,"Vehicle1472","Vehicle1482",2033,25,28,-3,4.38e-06,4873,0.130301475408747,-0.308326710802011
"27",27,"Vehicle1478","Vehicle1482",2042,28,30,-2,0.00056435,4886,0.24637661151304,-0.604523691633623
"28",28,"Vehicle163","Vehicle172",210,20,24,-4,3.84e-05,432,0.133733663082632,-0.525648543342853
"29",29,"Vehicle180","Vehicle190",235,26,28,-2,0.000771392,479,0.194499226849977,0.770841808468197
"30",30,"Vehicle180","Vehicle192",237,31,34,-3,0.000559843,481,0.167903456787868,0.212226840574265
"31",31,"Vehicle180","Vehicle192",238,28,32,-4,0.000472302,481,0.167903456787868,0.212226840574265
"32",32,"Vehicle180","Vehicle192",236,34,36,-2,1.66e-05,481,0.167903456787868,0.212226840574265
"33",33,"Vehicle248","Vehicle271",339,28,30,-2,0.000130611,716,0.252964119136548,-0.962818889105654
"34",34,"Vehicle254","Vehicle264",349,27,30,-3,0.000329296,744,0.128307356694846,-0.935780677460668
"35",35,"Vehicle254","Vehicle264",348,30,32,-2,0.000174521,744,0.128307356694846,-0.935780677460668
"36",36,"Vehicle276","Vehicle295",377,25,28,-3,0.000907087,830,0.131933885980658,0.697670392401732
"37",37,"Vehicle291","Vehicle298",398,17,20,-3,0.00015204,896,0.230660577999864,-0.534702699706835
"38",38,"Vehicle291","Vehicle298",399,14,18,-4,0.000697174,896,0.230660577999864,-0.534702699706835
