"","X.Lead.","X.Follower.","X.TE."
"1","Lead","Follower","TE"
"4","Vehicle2","Vehicle5","0.13986474036286"
"6","Vehicle3","Vehicle4","0.126892276141213"
"7","Vehicle3","Vehicle5","0.133505808699894"
"8","Vehicle3","Vehicle15","0.122240353750217"
"11","Vehicle5","Vehicle6","0.21096521378469"
"12","Vehicle5","Vehicle9","0.131933885980658"
"13","Vehicle5","Vehicle12","0.134611562825017"
"15","Vehicle6","Vehicle11","0.224344619520754"
"17","Vehicle7","Vehicle8","0.232973258733091"
"18","Vehicle7","Vehicle10","0.128628463345223"
"19","Vehicle7","Vehicle14","0.23538655291408"
"20","Vehicle7","Vehicle15","0.239605031975446"
"23","Vehicle9","Vehicle15","0.117961957647258"
"24","Vehicle9","Vehicle17","0.212776892646388"
"25","Vehicle9","Vehicle23","0.220541343798721"
"26","Vehicle9","Vehicle25","0.22666853243578"
"28","Vehicle10","Vehicle18","0.134695372306932"
"31","Vehicle12","Vehicle15","0.136293440383956"
"32","Vehicle12","Vehicle17","0.212776892646388"
"33","Vehicle12","Vehicle23","0.220541343798721"
"35","Vehicle13","Vehicle21","0.212776892646388"
"38","Vehicle15","Vehicle20","0.224344619520754"
"39","Vehicle15","Vehicle21","0.214767347827075"
"40","Vehicle15","Vehicle26","0.182212536313329"
"41","Vehicle15","Vehicle29","0.196233663082632"
"44","Vehicle17","Vehicle23","0.220541343798721"
"45","Vehicle17","Vehicle25","0.22666853243578"
"47","Vehicle18","Vehicle21","0.214767347827075"
"51","Vehicle22","Vehicle26","0.236432015641618"
"53","Vehicle23","Vehicle27","0.220541343798721"
"55","Vehicle24","Vehicle28","0.207465841973309"
"57","Vehicle25","Vehicle27","0.446462213150253"
"59","Vehicle26","Vehicle30","0.131223499870997"
"60","Vehicle26","Vehicle32","0.196899500990017"
"62","Vehicle27","Vehicle33","0.123233819115672"
"63","Vehicle27","Vehicle38","0.230041961164818"
"65","Vehicle28","Vehicle29","0.319499226849977"
"67","Vehicle29","Vehicle30","0.143060270811175"
"68","Vehicle29","Vehicle31","0.144235513499199"
"69","Vehicle29","Vehicle32","0.137014324155802"
"70","Vehicle29","Vehicle33","0.199514324155802"
